publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Europe Comics,Isabellae,Isabellae Vol. 5: The Dark Song of the Fomorian Gods,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629480/629480._SX360_QL80_TTD_.jpg,"In an effort to defeat the English invaders and their Norman mercenaries and free their island from the yoke of the Crown, the druids of Ireland strike an unholy alliance with fearsome entities summoned from the darkness: the ancient Fomorian gods and their armies. Surrounded by monsters of unprecedented power, Isabellae, her friends, the Irish people and the English forces unite to wage the battle of their lives and save humanity from a horrific fate.",Raule,Gabor,,,51 Pages,January 17 2018
Europe Comics,Mermaid Project,Mermaid Project Vol. 1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629510/629510._SX360_QL80_TTD_.jpg,"Paris, end of the 21st century. Inspector Romane Pennac is the only white woman in her station. The world has suffered devastating wars and ecological disasters, and the old powers of Europe and America are now the third world. Amidst it all, it is to this young woman, now a member of a discriminated-against minority, that a couple of devastated parents turn. A mysterious letter has just announced that the body of their daughter, recently deceased in New York, is missing from her coffin...","Corine, Jamar, Leo",Fred Simon,,,49 Pages,January 17 2018
Europe Comics,Milos World,Milos World Vol. 4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629485/629485._SX360_QL80_TTD_.jpg,"The village on the other side of the lake is under attack by the Black Queen, a.k.a. Milos transformed best friend Valia, and her army of disgusting, ferocious, and hungry giant spiders. After she captures the village children, Milo leads the counter-attack against the Queens fortress to free the kids. But Valias power grows stronger by the minute, and Milo must quickly figure out how to tame his own new magical gift in order to defeat her before its too late. Unfortunately, all he seems to be able to do is create harmless pretty things like flowers and cuddly animals...",Richard Marazano,Christophe Ferreira,,,56 Pages,January 17 2018
Europe Comics,Pin-Up,Pin-Up Vol. 4: Blackbird,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627371/627371._SX360_QL80_TTD_.jpg,"A United States Air Force U-2 airplane goes down over Russia, and pilot Gary Francis Powers is captured. Back in the States, Powers is considered a traitor for allowing himself to be taken alive, and his wife, Dottie – aka ""Poison Ivy"" – has to hide from irate neighbors while also figuring out how to handle her angry young stepson. In Russia, U.S. agents discover that Powers plane may not have been shot down after all, and then Dottie receives an offer of help from an unexpected source: billionaire Howard Hughes, who may be able to free Gary. But at what cost?",Yann,Philippe Berthet,,,47 Pages,January 17 2018
Europe Comics,Sisco,Sisco Vol. 8: In the national interest,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627361/627361._SX360_QL80_TTD_.jpg,"As ever with Sisco, its a case of ""out of the frying pan, into the fire."" Having escaped (literally) from charges of conspiring with the Indian Secret Service, he finds himself being used as a scapegoat by another countrys agents. But who is it this time? The trail leads to his opposite number in the Internal Security Service—and theres no love lost between them. Theres little doubt Sisco will save the day once more, but will his unorthodox methods meet with official approval this time? Its about as likely as rain in the desert...",Benec,Thomas Legrain,,,51 Pages,January 17 2018
Europe Comics,The Black Moon Chronicles,The Black Moon Chronicles Vol. 11: Ave Tenebrae,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629475/629475._SX360_QL80_TTD_.jpg,"After an epic dual with the Emperor, Wismerhill comes through as victor... and his reward from the Black Moon is more than he ever imagined. He rises to the challenge and begins constructing a new life and a new empire. It is written, after all. But the real question is: what else is written that Wismerhill is yet to discover?",François Froideval,Cyril Pontet,,,45 Pages,January 17 2018
Europe Comics,The Kingdom,The Kingdom Vol. 4: Will you marry me?,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627359/627359._SX360_QL80_TTD_.jpg,"The Kingdom is a tranquil little territory, as we all know by now, but a curious love triangle has cropped up to complicate things. François has been cooking up schemes to win Annes heart, but now Candice is in madly love with him and Anne must deal with her mounting jealousy. Still, she isnt ready for marriage, despite the charming knuckleheads continued proposals and steel-flower offerings. Will Candice manage to step in and thwart the eternal courtship?",Benoît Feroumont,Benoît Feroumont,,,51 Pages,January 17 2018
Europe Comics,The Marvelous Adventures of McConey,The Marvelous Adventures of McConey: Slalom,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629505/629505._SX360_QL80_TTD_.jpg,"McConey and his buddies cant wait to hit the mountain for winter vacation. Skiing, relaxing, dance parties, and card games... Just what the doctor ordered to get away from it all. Except nothing goes as planned, starting with the mysterious wolf on the prowl thats gobbling up skiers and closing down resorts! A brilliant and off-beat tale to hold you over until your next run down the slopes.",Lewis Trondheim,Lewis Trondheim,,,49 Pages,January 17 2018
Europe Comics,The Passenger,The Passenger Vol. 1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629506/629506._SX360_QL80_TTD_.jpg,"A couple of young American tourists on a honeymoon in Sicily. The most cruel mafia boss, at large and chased by police and rival gangs. Their stories are going to intertwine during a night in which Palermo will be covered in blood.","Carlo Carlei, Marco Rizzo",Lelio Bonaccorso,,,93 Pages,January 17 2018
Europe Comics,The World Book of Records,The World Book of Records,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629500/629500._SX360_QL80_TTD_.jpg,"Egg-balancing, hotdog-eating, baton-twirling—these are a few of the records people try to break in order to find themselves included in the World Book of Records. For those who make into the book, Paul Baron, a judge at the publication, is a hero. For others, whose dreams he denies, hes a villain. After one mans plan to achieve renown is destroyed, Paul learns that the man may have lost everything else, but he hasnt lost hope—the hope of joining other record-breakers in the book. But the record the man hopes to break is terrible, and Paul unfortunately has a role in his project.",Tonino Benacquista,Nicolas Barral,,,66 Pages,January 17 2018
